R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
12.0,gaussian_calibrated,22,4.345263830670667e-06,0.001918971511850014
12.0,gaussian_calibrated,23,4.66198607851295e-06,0.0017115315057546858
12.0,gaussian_calibrated,24,6.04908481461011e-06,0.0025633015100471096
12.0,gaussian_calibrated,25,3.17214382356424e-06,0.001253205759018099
12.0,gaussian_calibrated,26,2.947061757145043e-06,0.0012883407357554958
12.0,gaussian_calibrated,27,6.360650438622313e-06,0.002687697620500505
12.0,gaussian_calibrated,28,5.8301142280026875e-06,0.002337840709471805
12.0,gaussian_calibrated,29,3.120268455516641e-06,0.0012967757533280944
16.0,smoothstep,0,1.7893614746336036e-07,0.00042114101917563974
16.0,smoothstep,1,5.956716124971693e-08,0.0001382522331832538
16.0,smoothstep,2,1.4782122902404218e-07,0.00034297260925660646
16.0,smoothstep,3,7.501628067393233e-08,0.0001740102494486889
16.0,smoothstep,4,1.2704024610648482e-07,0.00029487135678934263
16.0,smoothstep,5,1.8071987666126726e-07,0.00042110666051899776
16.0,smoothstep,6,7.831538916393361e-08,0.00018228168431520597
16.0,smoothstep,7,1.2915316094574383e-07,0.00029865391849516937
16.0,smoothstep,8,1.2240377383354955e-07,0.0002818031929436224
16.0,smoothstep,9,1.1121106493886795e-07,0.00025841907244100417
16.0,smoothstep,10,1.8641608394084788e-07,0.0004334308701233483
16.0,smoothstep,11,1.4575887570192974e-07,0.00033895935614956194
16.0,smoothstep,12,1.804552607746679e-07,0.00041700055474747956
16.0,smoothstep,13,1.8489709392090704e-07,0.0004279722969266065
16.0,smoothstep,14,1.2190827888571587e-07,0.00028383149542606374
16.0,smoothstep,15,1.8694495221714586e-07,0.00043303167789178807
16.0,smoothstep,16,1.5322893045369293e-07,0.0003587573274172985
16.0,smoothstep,17,5.9407757301030894e-08,0.00013930915864545087
16.0,smoothstep,18,6.945182554692933e-08,0.0001616987581849949
16.0,smoothstep,19,1.886466601978397e-07,0.00043558879169180856
16.0,smoothstep,20,1.1409124514991033e-07,0.0002646122172977524
16.0,smoothstep,21,1.4671197311843035e-07,0.00033775971977992883
16.0,smoothstep,22,1.2188005072804115e-07,0.00028490254444342856
16.0,smoothstep,23,1.2164546010611126e-07,0.000284909907206008
16.0,smoothstep,24,1.5876507750044837e-07,0.0003715870348140885
16.0,smoothstep,25,9.052858200064391e-08,0.0002091427906094101
16.0,smoothstep,26,7.941021132558458e-08,0.00018558153661084255
16.0,smoothstep,27,1.960691514214878e-07,0.00045179677841646797
16.0,smoothstep,28,1.6487059735912126e-07,0.00037996978470128195
16.0,smoothstep,29,8.901107106204413e-08,0.00020635363443577735
16.0,gaussian_shipped,0,0.0022656776783878123,0.9207151172603213
16.0,gaussian_shipped,1,0.0007542354606469115,0.3064992009469716
16.0,gaussian_shipped,2,0.001871702636607862,0.6706745145086324
16.0,gaussian_shipped,3,0.000949851190204066,0.36987667777385563
16.0,gaussian_shipped,4,0.0016085752037290051,0.6474843437333935
16.0,gaussian_shipped,5,0.0022882631396558433,0.9572160762280092
